state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,recharge_total,minutes_total,calls_total,rechargesPerMinute,plan,churn,prob,cluster
KS,128,area_code_415,0,1,25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10.0,3,2.7,1,75.56,717.2,304,0.1053541550474065,Apenas Correio de Voz,0,0.021287346606151995,2
OH,107,area_code_415,0,1,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,59.24000000000001,625.2,333,0.0947536788227767,Apenas Correio de Voz,0,0.021354520152731586,2
NJ,137,area_code_415,0,0,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,62.290000000000006,539.4000000000001,333,0.1154801631442343,Nenhum,0,0.02133096262597397,1
OH,84,area_code_408,1,0,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,66.8,564.8,257,0.1182719546742209,Apenas Internacional,0,0.021284808375747675,1
OK,75,area_code_415,1,0,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,52.09,512.0,362,0.1017382812499999,Apenas Internacional,0,0.021336903473731777,0
AL,118,area_code_510,1,0,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,67.61,654.1999999999999,323,0.1033476001222867,Apenas Internacional,0,0.02136553202248098,1
MA,121,area_code_510,0,1,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,78.31,786.8000000000001,324,0.0995297407219115,Apenas Correio de Voz,0,0.02167328051308219,2
MO,147,area_code_415,1,0,0,157.0,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,46.900000000000006,479.00000000000006,275,0.0979123173277661,Apenas Internacional,0,0.02128282051516128,0
LA,117,area_code_408,0,0,0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,73.32,760.6000000000001,272,0.0963975808572179,Nenhum,0,0.02135054215276348,1
WV,141,area_code_415,1,1,37,258.6,84,43.96,222.0,111,18.87,326.4,97,14.69,11.2,5,3.02,0,80.53999999999999,818.2,297,0.0984355903202151,Ambos,0,0.021306603316643486,2
IN,65,area_code_415,0,0,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,54.2,579.1000000000001,341,0.0935935071662925,Nenhum,1,0.9691935548546814,3
RI,74,area_code_415,0,0,0,187.7,127,31.91,163.4,148,13.89,196.0,94,8.82,9.1,5,2.46,0,57.08,556.2,374,0.1026249550521395,Nenhum,0,0.021359649012605737,1
IA,168,area_code_408,0,0,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,40.190000000000005,386.0,298,0.1041191709844559,Nenhum,0,0.02128359904813166,0
MT,95,area_code_510,0,0,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,59.64,608.8,286,0.0979632063074901,Nenhum,0,0.021690327601443484,1
IA,62,area_code_415,0,0,0,120.7,70,20.52,307.2,76,26.11,203.0,99,9.14,13.1,6,3.54,4,59.31,644.0,255,0.0920962732919254,Nenhum,0,0.02132513761743754,1
NY,161,area_code_415,0,0,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,92.29,816.7,305,0.1130035508754744,Nenhum,1,0.9694315019087123,3
ID,85,area_code_408,0,1,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,65.02,580.3999999999999,309,0.112026188835286,Apenas Correio de Voz,0,0.021295548720349063,2
VT,93,area_code_510,0,0,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,58.99,546.6,352,0.1079216977680204,Nenhum,0,0.021338083306312632,1
VA,76,area_code_510,0,1,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10.0,5,2.7,1,60.50000000000001,578.2,245,0.1046350743687305,Apenas Correio de Voz,0,0.021349033634459797,2
TX,73,area_code_415,0,0,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13.0,2,3.51,1,63.9,589.7,255,0.1083601831439715,Nenhum,0,0.021281432608688818,1
FL,147,area_code_415,0,0,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,59.0,614.1999999999999,347,0.0960599153370237,Nenhum,0,0.023383524275124308,1
CO,77,area_code_408,0,0,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,36.02,447.6,285,0.08047363717605,Nenhum,1,0.9694474635108487,3
AZ,130,area_code_415,0,0,0,183.0,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0,48.06,447.2000000000001,308,0.107468694096601,Nenhum,0,0.0212842288050313,0
SC,111,area_code_415,0,0,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,41.05,445.0,318,0.0922471910112359,Nenhum,0,0.021440976490989846,0
VA,132,area_code_510,0,0,0,81.1,86,13.79,245.2,72,20.84,237.0,115,10.67,10.3,2,2.78,0,48.08,573.5999999999999,275,0.0838214783821478,Nenhum,0,0.021335756325419307,0
NE,174,area_code_415,0,0,0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,60.15,667.6,311,0.0900988615937687,Nenhum,0,0.021311927878076675,1
WY,57,area_code_408,0,1,39,213.0,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,63.24,596.3,345,0.1060539996645983,Apenas Correio de Voz,0,0.021337003788304037,2
MT,54,area_code_408,0,0,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,44.61,406.6,248,0.1097147073290703,Nenhum,0,0.021298348828303372,0
MO,20,area_code_415,0,0,0,190.0,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,64.12,636.0,301,0.1008176100628931,Nenhum,0,0.021675756230171817,1
HI,49,area_code_510,0,0,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3.0,1,49.6,524.1999999999999,318,0.0946203739030904,Nenhum,0,0.021313058877906882,0
IL,142,area_code_415,0,0,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,41.14,486.2,314,0.0846153846153846,Nenhum,0,0.02151294417483219,0
NH,75,area_code_510,0,0,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,69.42999999999999,684.0999999999999,316,0.1014910100862447,Nenhum,0,0.024235136382732236,1
LA,172,area_code_408,0,0,0,212.0,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,55.29,549.1,327,0.1006920415224913,Nenhum,0,0.02131447624115766,1
AZ,12,area_code_408,0,0,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,79.67999999999999,794.0,331,0.100352644836272,Nenhum,1,0.9694367501349179,3
OK,57,area_code_408,0,1,25,176.8,94,30.06,195.0,75,16.58,213.5,116,9.61,8.3,4,2.24,0,58.49,593.5999999999999,289,0.0985343665768194,Apenas Correio de Voz,0,0.021293586972223853,2
GA,72,area_code_415,0,1,37,220.0,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,66.72,604.8000000000001,262,0.1103174603174603,Apenas Correio de Voz,0,0.021331143628538836,2
AK,36,area_code_408,0,1,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,48.42,452.6,323,0.1069818824569156,Apenas Correio de Voz,0,0.021282300521425303,2
MA,78,area_code_415,0,0,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10.0,5,2.7,1,54.2,592.3,294,0.091507681917947,Nenhum,0,0.02131096770962817,0
AK,136,area_code_415,1,1,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,58.03,503.7,321,0.1152074647607703,Ambos,0,0.02146344567852579,2
NJ,149,area_code_408,0,0,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3.0,1,58.44,611.6,304,0.0955526487900588,Nenhum,0,0.02130428504198493,1
GA,98,area_code_408,0,0,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,46.63999999999999,490.3,327,0.0951254334081174,Nenhum,0,0.021294091264813363,0
MD,135,area_code_408,1,1,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,56.2,513.8,285,0.1093810821331257,Ambos,1,0.969415360840042,3
AR,34,area_code_510,0,0,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10.0,4,2.7,2,61.92999999999999,728.5,264,0.0850102951269732,Nenhum,0,0.02155210615731088,1
ID,160,area_code_415,0,0,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,39.15,438.8,286,0.0892206016408386,Nenhum,0,0.021384188130198774,0
WI,64,area_code_510,0,0,0,154.0,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,58.260000000000005,648.6,275,0.0898242368177613,Nenhum,0,0.021301265171190846,1
OR,59,area_code_408,0,1,28,120.9,97,20.55,213.0,92,18.11,163.1,116,7.34,8.5,5,2.3,2,48.3,505.5,312,0.0955489614243323,Apenas Correio de Voz,0,0.021384740999197894,2
MI,65,area_code_415,0,0,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,59.36000000000001,521.8,368,0.1137600613261786,Nenhum,0,0.021284204918158144,1
DE,142,area_code_408,0,0,0,187.0,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2.0,2,56.13,571.1999999999999,341,0.098266806722689,Nenhum,0,0.022957505614658636,1
ID,119,area_code_415,0,0,0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5,55.53,542.3999999999999,330,0.1023783185840708,Nenhum,1,0.9692815371272168,3
WY,97,area_code_415,0,1,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11.0,3,2.97,1,47.25,432.0,276,0.109375,Apenas Correio de Voz,0,0.021306210171469393,2
IA,52,area_code_408,0,0,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,68.32,706.3,299,0.0967294350842418,Nenhum,0,0.021719104081935673,1
IN,60,area_code_408,0,0,0,220.6,57,37.5,211.1,115,17.94,249.0,129,11.21,6.8,3,1.84,1,68.49000000000001,687.5,305,0.0996218181818182,Nenhum,0,0.021285656080240575,1
VA,10,area_code_408,0,0,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,63.620000000000005,670.4999999999999,243,0.0948844146159582,Nenhum,0,0.021313238945036495,1
UT,96,area_code_415,0,0,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,62.76,665.5,259,0.094305033809166,Nenhum,0,0.021476450412663384,1
WY,87,area_code_415,0,0,0,151.0,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,56.14,584.3000000000001,334,0.0960807804210165,Nenhum,1,0.9691238076594377,3
IN,81,area_code_408,0,0,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,65.94,705.2,254,0.0935053885422575,Nenhum,0,0.026302369386015996,1
CO,141,area_code_415,0,0,0,126.9,98,21.57,180.0,62,15.3,140.8,128,6.34,8.0,2,2.16,1,45.370000000000005,455.7,291,0.099561114768488,Nenhum,0,0.02135344073293926,0
CO,121,area_code_408,0,1,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,49.85,460.7,289,0.1082049055784675,Apenas Correio de Voz,1,0.8502294422756315,3
WI,68,area_code_415,0,0,0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,55.36000000000001,537.2,343,0.1030528667163067,Nenhum,0,0.02274686517873197,0
OK,125,area_code_408,0,0,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12.0,8,3.24,1,65.82,608.0,333,0.1082565789473684,Nenhum,0,0.021282586410193854,1
ID,174,area_code_408,0,0,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,57.67999999999999,540.0,250,0.1068148148148148,Nenhum,0,0.02211357000507446,1
CA,116,area_code_415,0,1,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,71.41999999999999,624.7,336,0.1143268769009124,Apenas Correio de Voz,0,0.021284212754955012,2
MN,74,area_code_510,0,1,33,193.7,91,32.93,246.1,96,20.92,138.0,92,6.21,14.6,3,3.94,2,64.0,592.4,284,0.1080351114112086,Apenas Correio de Voz,0,0.07965252806135857,2
SD,149,area_code_408,0,1,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,62.03,646.6,215,0.0959325703680791,Apenas Correio de Voz,0,0.0213031417100695,2
NC,38,area_code_408,0,0,0,131.2,98,22.3,162.9,97,13.85,159.0,106,7.15,8.2,6,2.21,2,45.51,461.3,309,0.0986559722523303,Nenhum,0,0.021290835614039553,0
